2018-11-01 08:39:32.767672: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-11-01 08:39:32.767743: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2018-11-01 08:39:32.767753: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2018-11-01 08:39:32.768183: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 11372 MB memory) -> physical GPU (device: 0, name: TITAN X (Pascal), pci bus id: 0000:08:00.0, compute capability: 6.1)
/opt/conda/lib/python3.6/site-packages/sklearn/externals/joblib/externals/cloudpickle/cloudpickle.py:47: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Using TensorFlow backend.
/opt/conda/lib/python3.6/site-packages/sklearn/preprocessing/_encoders.py:363: FutureWarning: The handling of integer data will change in version 0.22. Currently, the categories are determined based on the range [0, max(values)], while in the future they will be determined based on the unique values.
If you want the future behaviour and silence this warning, you can specify "categories='auto'".
In case you used a LabelEncoder before this OneHotEncoder to convert the categories to integers, then you can now use the OneHotEncoder directly.
  warnings.warn(msg, FutureWarning)
	Command being timed: "python compressor.py -data ../data/processed_files/iid_p10.1.npy -data_params ../data/processed_files/iid_p10.1.param.json -model ../data/trained_models/iid_p10.1/FC.hdf5 -model_name FC -output ../data/compressed/iid_p10.1/FC.compressed -batch_size 10000"
	User time (seconds): 97.28
	System time (seconds): 8.99
	Percent of CPU this job got: 111%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:35.02
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1663528
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 1162335
	Voluntary context switches: 94033
	Involuntary context switches: 398
	Swaps: 0
	File system inputs: 0
	File system outputs: 81280
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
2018-11-01 08:41:02.217420: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-11-01 08:41:04.868278: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1411] Found device 0 with properties: 
name: TITAN X (Pascal) major: 6 minor: 1 memoryClockRate(GHz): 1.531
pciBusID: 0000:08:00.0
totalMemory: 11.91GiB freeMemory: 11.75GiB
2018-11-01 08:41:04.868340: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1490] Adding visible gpu devices: 0
2018-11-01 08:41:05.201578: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-11-01 08:41:05.201644: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2018-11-01 08:41:05.201654: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2018-11-01 08:41:05.202105: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 11372 MB memory) -> physical GPU (device: 0, name: TITAN X (Pascal), pci bus id: 0000:08:00.0, compute capability: 6.1)
/opt/conda/lib/python3.6/site-packages/sklearn/externals/joblib/externals/cloudpickle/cloudpickle.py:47: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Using TensorFlow backend.
{'0': 'a', '1': 'b'}
[0 0 0 0 0 0 0 0 0 0]
	Command being timed: "python decompressor.py -output ../data/compressed/iid_p10.1/FC.reconstructed.txt -model ../data/trained_models/iid_p10.1/FC.hdf5 -model_name FC -input_file_prefix ../data/compressed/iid_p10.1/FC.compressed -batch_size 10000"
	User time (seconds): 137.19
	System time (seconds): 7.42
	Percent of CPU this job got: 103%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:19.95
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1497364
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 495164
	Voluntary context switches: 95260
	Involuntary context switches: 500
	Swaps: 0
	File system inputs: 0
	File system outputs: 99552
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
